Crash Type,Report Made?,Date / Time,Case Number,District,Crash Location,Lanes Of Traffic,Signal Present?,Speed Limit Of Road (MPH),Road Type,Synopsis,Ticket/Arrest?,Citation To,Pedestrian Age,Pedestrian Gender,Pedestrian City Of Residence,Pedestrian Zip Code,Biker Age,Biker Gender,Biker City of Residence,Biker Zip Code,Driver Age,Driver Gender,Driver City Of Residence,Driver Zip Code,Injury to Pedestrian?,Level of Injury to Pedestrian,Pedestrian to Hospital?,Injury to Biker?,Level of Injury to Biker,Biker to Hospital?,Crash Lat/Long Location,Count,District Council - Map,Council Ward
Pedestrian,Yes,01/01/2016 01:08:00 AM,16-000056,Central District,7th Street & Homer,4,,,State - Trunk Highway,,Yes,Pedestrian,26,Male,St. Paul,55104,,,,,22,Female,"La Crosse, WI",54603,Yes,Suspected Minor Injury,Yes,,,,"(44.908633, -93.155782)",1,6,6
Pedestrian,Yes,02/02/2016 10:34:00 PM,16-021626,Eastern District,Arcade Street & Maryland Ave,,,,,,No,,19,Female,Roseville,55113,,,,,,Unknown,Unknown,Unknown,Yes,Suspected Minor Injury,No,,,,"(44.977522, -93.065967)",1,13,1
Pedestrian,Yes,02/19/2016 07:31:00 PM,16-032425,Western District,Snelling Ave S & St. Clair Av,,,,,,Yes,Driver,54,Female,St. Paul,55106,,,,,68,Male,St. Paul,55105,No,None,No,,,,"(44.934254, -93.167026)",1,5,6
Pedestrian,Yes,02/20/2016 05:03:00 PM,16-033042,Central District,Como Ave & Marion (217 Como),,,,,,Yes,Driver,61,Female,St. Paul,55119,,,,,23,Female,St. Paul,55117,Yes,Suspected Minor Injury,Yes,,,,"(44.961349, -93.109351)",1,10,7
Bike,No,03/09/2016 08:40:00 PM,16-046024,Eastern District,White Bear Ave N & Suburban,,,,,,No,None,,,,,54,Male,St. Paul,55106,22,Male,Minneapolis,55404,,,,No,None,No,"(44.949685, -93.025222)",1,16,2
Pedestrian,No,03/14/2016 01:09:00 PM,16-049315,Central District,7th Street W & 5th Street,,,,,,No,None,,Unknown,Unknown,Unknown,,,,,,Unknown,Unknown,Unknown,No,None,No,,,,"(44.945937, -93.101551)",1,12,5
Pedestrian,Yes,03/15/2016 09:28:00 PM,16-050358,Eastern District,Clarence St & Maryland Ave E,,,,,,No,None,64,Male,St. Paul,55119,,,,,46,Male,St. Paul,55101,Yes,Suspected Minor Injury,No,,,,"(44.977542, -93.04313)",1,14,1
Pedestrian,No,03/20/2016 12:52:00 AM,16-053494,Western District,981 University Ave W (Johnny Baby's Pk Lot),,,,,,Yes,Driver,27,Female,St. Paul,55104,,,,,25,Female,St. Paul,55130,Yes,Suspected Serious Injury,Yes,,,,"(44.956068, -93.141821)",1,10,7
Bike,No,03/21/2016 03:25:00 PM,16-054459,Eastern District,Dellwood Pl & Margaret St,,,,,,No,None,,,,,29,Male,St. Paul,55106,58,Female,Oakdale,55128,,,,Yes,Suspected Minor Injury,No,"(44.961225, -93.069834)",1,15,2
Bike,Yes,03/22/2016 01:32:00 PM,16-055198,Western District,Lexington Pkwy & Front,,,,,,Yes,Driver,,,,,53,Male,St. Paul,55106,82,Female,St. Paul,55108,,,,Yes,Suspected Serious Injury,No,"(44.970298, -93.146504)",1,2,3
Bike,Yes,03/24/2016 08:53:00 PM,16-056865,Western District,Lexington Pkwy & Summit Ave,,,,,,Yes,Biker,,,,,29,Male,St. Paul,55102,27,Male,Oakdale,55128,,,,Yes,Suspected Serious Injury,Yes,"(44.941942, -93.146684)",1,17,7
Pedestrian,Yes,03/31/2016 03:34:00 PM,16-061306,Central District,10th Street E & Robert St,,,,,,Yes,Driver,36,Female,Centerville,55038,,,,,69,Male,Arden Hills,55112,No,None,No,,,,"(44.951343, -93.09464)",1,12,5
Pedestrian,Yes,04/09/2016 09:07:00 PM,16-067764,Central District,Eagle St W & Exchange St,,,,,,No,None,19,Male,Cottage Grove,55016,,,,,30,Male,Minneapolis,55075,No,None,No,,,,"(44.943208, -93.101597)",1,11,5
Pedestrian,Yes,04/21/2016 01:14:00 PM,16-076282,Western District,Summit Ave & Oxford St,,,,,,Yes,Driver,23,Female,St. Paul,55104,,,,,70,Female,St. Paul,55104,Yes,Suspected Minor Injury,Yes,,,,"(44.941388, -93.144064)",1,8,5
Pedestrian,Yes,04/22/2016 01:50:00 PM,16-077029,Central District,Rice St & Maryland,,,,,,No,None,69,Male,St. Paul,55117,,,,,67,Male,St. Paul,55106,Yes,Suspected Minor Injury,Yes,,,,"(44.977385, -93.105921)",1,3,3
